"ID","Category","Question","Suggested Evidence","Typical Owner"
"VSQ-001","Company & Scope","What legal entity provides the service being assessed?","Contract entity / order form","Legal / Sales"
"VSQ-002","Company & Scope","What product, service, and deployment model are in scope for this review?","Architecture overview / product scope","Product / Solutions Engineering"
"VSQ-003","Company & Scope","Which production regions process or store customer data?","Data residency documentation","Security / Privacy"
"VSQ-004","Company & Scope","Which customer data types are processed by the service?","Data flow / data classification map","Privacy / Product"
"VSQ-005","Company & Scope","Does the service support single-tenant, multi-tenant, or both deployment models?","Architecture documentation","Engineering"
"VSQ-006","Governance","Is there an approved information security policy reviewed on a defined cadence?","Information security policy","Security / GRC"
"VSQ-007","Governance","Who is accountable for the information security program?","Org chart / security charter","Executive / Security"
"VSQ-008","Governance","How are security exceptions documented, approved, and reviewed?","Exception management procedure","Security / GRC"
"VSQ-009","Governance","How are security risks tracked through remediation?","Risk register / risk procedure","Security / GRC"
"VSQ-010","Governance","Are employees required to complete security awareness training?","Training policy / completion record","Security / HR"
"VSQ-011","Identity & Access","Is multi-factor authentication required for privileged administrative access?","IAM standard / access configuration","Security / IT"
"VSQ-012","Identity & Access","How is least privilege enforced for production access?","Access control policy / role matrix","Security / Engineering"
"VSQ-013","Identity & Access","How frequently are privileged and sensitive-access rights reviewed?","Access review procedure / review evidence","Security / IT"
"VSQ-014","Identity & Access","How quickly is access revoked after termination or role change?","Joiner-mover-leaver procedure","IT / HR"
"VSQ-015","Identity & Access","Are shared administrative accounts prohibited or tightly controlled?","Access control standard","Security / IT"
"VSQ-016","Data Protection","Is customer data encrypted in transit?","Encryption standard / TLS configuration","Security / Engineering"
"VSQ-017","Data Protection","Is customer data encrypted at rest?","Encryption standard / cloud configuration","Security / Engineering"
"VSQ-018","Data Protection","How are encryption keys generated, stored, rotated, and access-controlled?","Key management standard","Security / Platform"
"VSQ-019","Data Protection","How is sensitive customer data classified and handled?","Data classification and handling policy","Privacy / Security"
"VSQ-020","Data Protection","What controls prevent production customer data from being copied into lower environments without authorization?","Data handling procedure","Engineering / Security"
"VSQ-021","Application Security","Is security review part of the software development lifecycle?","Secure SDLC standard","Engineering / AppSec"
"VSQ-022","Application Security","Are code changes peer-reviewed before production release?","Development workflow / branch protection","Engineering"
"VSQ-023","Application Security","Are dependencies and container images scanned for known vulnerabilities?","Vulnerability management process","AppSec / Engineering"
"VSQ-024","Application Security","Are internet-facing applications tested for common web vulnerabilities?","AppSec testing procedure / test report","AppSec"
"VSQ-025","Application Security","How are secrets prevented from being committed to source repositories?","Secrets management standard / scanning controls","Engineering / Security"
"VSQ-026","Vulnerability Management","How are vulnerabilities prioritized and assigned remediation deadlines?","Vulnerability management policy","Security / Engineering"
"VSQ-027","Vulnerability Management","How are critical vulnerabilities escalated?","Vulnerability escalation procedure","Security"
"VSQ-028","Vulnerability Management","Are external attack surfaces or production assets scanned on a recurring basis?","Scanning schedule / platform evidence","Security"
"VSQ-029","Vulnerability Management","How are security patches tested and deployed?","Patch management procedure","IT / Platform"
"VSQ-030","Vulnerability Management","How are accepted vulnerability risks documented and approved?","Risk acceptance process","Security / GRC"
"VSQ-031","Logging & Monitoring","Which security-relevant events are centrally logged?","Logging standard / SIEM coverage","Security / Platform"
"VSQ-032","Logging & Monitoring","How long are security logs retained?","Logging and retention policy","Security / Privacy"
"VSQ-033","Logging & Monitoring","Are alerts configured for suspicious privileged activity?","Detection rules / monitoring procedure","Security"
"VSQ-034","Logging & Monitoring","How is access to security logs restricted?","IAM roles / logging architecture","Security / Platform"
"VSQ-035","Logging & Monitoring","Is time synchronization used across production systems to support investigations?","Infrastructure standard","Platform"
"VSQ-036","Incident Response","Is there a documented security incident response plan?","Incident response plan","Security"
"VSQ-037","Incident Response","How often is the incident response process exercised?","Tabletop report / exercise record","Security / Executive"
"VSQ-038","Incident Response","How are customers notified when a confirmed incident affects their data or service?","Incident communication procedure / contract terms","Legal / Security"
"VSQ-039","Incident Response","How are incident lessons learned converted into remediation actions?","Post-incident review procedure","Security / Engineering"
"VSQ-040","Incident Response","Are forensic and investigation responsibilities defined?","Incident response roles / runbook","Security"
"VSQ-041","Business Continuity","Is there a documented business continuity and disaster recovery program?","BCP / DR policy","Operations / Security"
"VSQ-042","Business Continuity","Are backups tested for restoration?","Backup testing record","Platform / Operations"
"VSQ-043","Business Continuity","Are recovery objectives defined for critical services?","BCP / service recovery documentation","Operations / Product"
"VSQ-044","Business Continuity","How are backup copies protected from unauthorized modification or deletion?","Backup architecture / access controls","Platform / Security"
"VSQ-045","Business Continuity","How often are disaster recovery procedures exercised?","DR exercise report","Operations / Engineering"
"VSQ-046","Third Parties","Is there a process to assess security risk before onboarding critical subprocessors?","Third-party risk procedure","Security / Procurement"
"VSQ-047","Third Parties","Is a current list of subprocessors maintained for the service?","Subprocessor list","Privacy / Legal"
"VSQ-048","Third Parties","How are material subprocessor changes reviewed and communicated?","Vendor management procedure / privacy terms","Privacy / Procurement"
"VSQ-049","Third Parties","Are contractual security and confidentiality requirements applied to relevant third parties?","Vendor contract standard","Legal / Procurement"
"VSQ-050","Third Parties","How are critical third-party security issues tracked to closure?","Vendor risk register","Security / Procurement"
"VSQ-051","Privacy","Is there a defined process for handling data subject requests where applicable?","Privacy procedure","Privacy / Legal"
"VSQ-052","Privacy","How are retention periods defined and enforced for customer data?","Retention schedule / deletion procedure","Privacy / Engineering"
"VSQ-053","Privacy","How is customer data deleted after termination or an authorized deletion request?","Deletion procedure / product documentation","Privacy / Engineering"
